source,run,N_rpm,omega_rad_s,torque_Nm,T_K,rho_kgm3,mu_Pas,P_w_W,P_w_reported_W,Re_Omega,Cp,Pi_gap,Pi_confinement,Pi_aspect_axial,R_m,R_chamber_m,gap_radial_m,h_rotor_m,P_w_pct_diff
Gorland1970,gap_0.0565in,241,25.237460983838005,0.00173318727686,297.59444444444443,1.164282980185225,1.8345115189102507e-05,0.04374124627743869,0.043738,37200.92171490925,0.056859204975427714,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007422098492588811
Gorland1970,gap_0.0565in,483,50.57964172279567,0.00433296819215,297.59444444444443,1.164282980185225,1.8345115189102507e-05,0.21915997875521667,0.2191,74556.20410083473,0.03539000428843427,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.027375059432534484
Gorland1970,gap_0.0565in,735,76.96902001294993,0.0086659363843,297.59444444444443,1.164282980185225,1.8345115189102507e-05,0.6670086309941377,0.66697,113455.09319692239,0.030565407785439563,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005792013754396832
Gorland1970,gap_0.0565in,975,102.10176124166829,0.0138632385183,297.59444444444443,1.164282980185225,1.8345115189102507e-05,1.4154610692317657,1.415,150501.65424081543,0.027787203382706814,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.032584398004642995
Gorland1970,gap_0.0565in,1220,127.75810124598493,0.0190605406523,297.59444444444443,1.164282980185225,1.8345115189102507e-05,2.435138482459755,2.554,188320.0186397896,0.02440084856925708,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,-4.653935690690868
Gorland1970,gap_0.0565in,1457,152.57668320934428,0.0259978091529,297.59444444444443,1.164282980185225,1.8345115189102507e-05,3.9666594912590143,3.9718,224903.49767063395,0.023334958003450673,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,-0.12942516594455172
Gorland1970,gap_0.0565in,1714,179.48966027509684,0.0311951112869,297.59444444444443,1.164282980185225,1.8345115189102507e-05,5.59919992712952,5.5988,264574.1901218027,0.02023272039905557,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007143086545697785
Gorland1970,gap_0.0565in,1954,204.62240150381518,0.039861047671199995,297.59444444444443,1.164282980185225,1.8345115189102507e-05,8.156463300939002,8.1559,301620.7511656958,0.01989248165282378,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006906668044009434
Gorland1970,gap_0.0565in,2194,229.75514273253353,0.048526984055499996,297.59444444444443,1.164282980185225,1.8345115189102507e-05,11.14932414805078,11.148,338667.31220958877,0.01920876441410236,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.01187789783621142
Gorland1970,gap_0.0565in,2462,257.82003710460236,0.0580629036231,297.59444444444443,1.164282980185225,1.8345115189102507e-05,14.969779966508593,14.9688,380035.972041936,0.01825206593492001,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.00654672724996808
Gorland1970,gap_0.0565in,2710,283.790536374278,0.0684575078911,297.59444444444443,1.164282980185225,1.8345115189102507e-05,19.42759288326164,19.426,418317.4184539588,0.01776118260078409,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.008199749107589365
Gorland1970,gap_0.0565in,2964,310.3893541746716,0.07886341064199999,297.59444444444443,1.164282980185225,1.8345115189102507e-05,24.4783630971823,24.477,457525.02889207896,0.017104427103730585,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005568889906030559
Gorland1970,gap_0.0565in,3214,336.5692929545865,0.0909979812766,298.15,1.1621135222684695,1.8371493734583912e-05,30.62712621855996,30.625,494479.7488896944,0.01681664603872453,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006942754481507777
Gorland1970,gap_0.0565in,3456,361.91147369354417,0.10312125342829999,298.15,1.1621135222684695,1.8371493734583912e-05,37.32076479736149,37.318,531711.889285247,0.016481627164981798,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007408750097789982
Gorland1970,gap_0.0565in,3700,387.4630939427412,0.1152558240629,298.15,1.1621135222684695,1.8371493734583912e-05,44.65737818633147,44.655,569251.7333204322,0.016071588426787516,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.005325688795139578
Gorland1970,gap_0.0565in,3939,412.4911154163399,0.1282603778808,298.15,1.1621135222684695,1.8371493734583912e-05,52.906266335772436,52.903,606022.3182565358,0.015780469622278283,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006174197630450827
Gorland1970,gap_0.0565in,4229,442.8598444010412,0.14563744458099998,298.7055555555555,1.1599521342009405,1.8397848412234544e-05,64.49697604610691,64.493,648498.9380258893,0.015574192419603398,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006165081647486704
Gorland1970,gap_0.0565in,4475,468.62090416047744,0.161229350983,298.7055555555555,1.1599521342009405,1.8397848412234544e-05,75.55544423486043,75.55,686221.9786393603,0.015398055578707942,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007206134825193904
Gorland1970,gap_0.0565in,4800,502.6548245743669,0.18201855951899998,298.7055555555555,1.1599521342009405,1.8397848412234544e-05,91.4925071043019,91.487,736059.3290433363,0.015109185553159219,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006019548462512029
Gorland1970,gap_0.0565in,5109,535.0132289063417,0.205406419122,298.7055555555555,1.1599521342009405,1.8397848412234544e-05,109.89515153255056,109.716,783443.148350501,0.015050470006003278,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.16328660591943092
Gorland1970,gap_0.0565in,5406,566.1149961768807,0.22709950628999998,299.26111111111106,1.1577987710394484,1.8424179274770107e-05,128.56443613513483,128.556,826265.3234506347,0.01488946001496732,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006562225905298083
Gorland1970,gap_0.0565in,5709,597.8450819781376,0.251278259696,299.26111111111106,1.1577987710394484,1.8424179274770107e-05,150.22547176727886,150.216,872576.531923728,0.0147723527620023,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.006305431697591035
Gorland1970,gap_0.0565in,6006,628.9468492486766,0.276473876563,299.81666666666666,1.1556533881739202,1.845048637474419e-05,173.88737356386636,173.876,914963.2645253853,0.01471308601956028,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.0065411924971571795
Gorland1970,gap_0.0565in,6410,671.2536303170192,0.3163575212,299.81666666666666,1.1556533881739202,1.845048637474419e-05,212.35613458359336,212.34,976509.2450229306,0.014780272215474276,0.009416666666666667,0.9906711797242632,0.9833333333333334,0.15239999999999998,0.15383509999999997,0.0014351,0.14986,0.007598466418647431
